Default Report
Last Modified: 2019-04-05 21:15:00 MDT


Qintro4 - What division of Spec are you in?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What division of Spec are you in?,1.00,17.00,11.88,7.46,55.69,222

#,Answer,%,Count
17,Journalism,68.02%,151
1,Business & Innovations,31.98%,71
,Total,100%,222

Qintro5 - What is your position in Spec?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your position in Spec?,1.00,5.00,3.96,0.87,0.76,222

#,Answer,%,Count
1,Corporate Board,1.35%,3
2,Managing Board,5.86%,13
3,Deputy Board,14.41%,32
4,Associate,52.25%,116
5,Trainee,26.13%,58
,Total,100%,222

Q1 - What college are you enrolled in?
#,Answer,%,Count
1,Columbia College,48.86%,107
2,Barnard,31.96%,70
3,SEAS,15.07%,33
4,GS,3.20%,7
5,Other (please specify any dual/joint degree program),0.91%,2
,Total,100%,219

Q1_5_TEXT - Other (please specify any dual/joint degree program)
Other (please specify any dual/joint degree program) - Text
Columbia-Juilliard Exchange
GS/JTS

Q2 - What year are you?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What year are you? - Selected Choice,1.00,4.00,1.80,0.84,0.71,217

#,Answer,%,Count
1,First year (Class of 2022),43.78%,95
2,Sophomore (Class of 2021),36.41%,79
3,Junior (Class of 2020),16.13%,35
4,Senior (Class of 2019),3.69%,8
5,Other,0.00%,0
,Total,100%,217

Q2_5_TEXT - Other
Other - Text

Q3ccgs - What is your first major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your first major/program of study?,2.00,58.00,28.07,14.72,216.79,110

#,Answer,%,Count
1,African-​American Studies,0.00%,0
2,American Studies,3.64%,4
3,Ancient Studies,0.00%,0
4,Anthropology,0.91%,1
5,Archaeology,0.00%,0
6,Architecture,0.00%,0
7,Art History and Archaeology,0.91%,1
8,Astronomy,0.00%,0
9,Biological Sciences,4.55%,5
10,Business,0.00%,0
11,Chemistry,0.91%,1
12,Classics,0.00%,0
13,"Colloquia, Interdepartmental Seminars, and Professional School Offerings",0.00%,0
14,Comparative Literature and Society,2.73%,3
15,Computer Science,8.18%,9
16,Creative Writing,3.64%,4
17,Dance,0.00%,0
18,Drama and Theatre Arts,0.00%,0
19,Earth and Environmental Sciences,0.00%,0
20,East Asian Languages and Cultures,0.00%,0
21,"Ecology, Evolution, and Environmental Biology",0.00%,0
22,Economics,20.91%,23
23,Education,0.00%,0
24,English and Comparative Literature,14.55%,16
25,Ethnicity and Race Studies,0.00%,0
26,Film and Media Studies,0.00%,0
27,French and Romance Philology,0.00%,0
28,Germanic Languages,0.00%,0
29,History,7.27%,8
30,History and Philosophy of Science,0.00%,0
31,Human Rights,0.91%,1
32,Italian,0.00%,0
33,Jazz Studies,0.00%,0
34,Jewish Studies,0.00%,0
35,Language Resource Center,0.00%,0
36,Latin American and Caribbean Studies,0.00%,0
37,Latin American and Iberian Cultures,0.00%,0
38,Linguistics,0.00%,0
39,Mathematics,4.55%,5
40,Medieval and Renaissance Studies,0.00%,0
41,"Middle Eastern, South Asian, and African Studies",0.00%,0
42,Music,0.00%,0
43,Philosophy,3.64%,4
44,Physical Education and Intercollegiate Athletics,0.00%,0
45,Physics,0.91%,1
46,Political Science,10.00%,11
47,Psychology,1.82%,2
48,Public Health,0.00%,0
49,Regional Studies,0.00%,0
50,Religion,0.00%,0
51,Slavic Languages,0.00%,0
52,Sociology,0.91%,1
53,Statistics,0.91%,1
54,Sustainable Development,2.73%,3
55,Urban Studies,0.91%,1
56,Visual Arts,1.82%,2
57,Women's and Gender Studies,0.91%,1
58,Other,1.82%,2
,Total,100%,110

Q4ccgs - What is your second major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your second major/program of study?,1.00,58.00,34.96,15.62,243.96,81

#,Answer,%,Count
1,African-​American Studies,1.23%,1
2,American Studies,0.00%,0
3,Ancient Studies,0.00%,0
4,Anthropology,0.00%,0
5,Archaeology,0.00%,0
6,Architecture,0.00%,0
7,Art History and Archaeology,2.47%,2
8,Astronomy,0.00%,0
9,Biological Sciences,0.00%,0
10,Business,2.47%,2
11,Chemistry,0.00%,0
12,Classics,0.00%,0
13,"Colloquia, Interdepartmental Seminars, and Professional School Offerings",0.00%,0
14,Comparative Literature and Society,0.00%,0
15,Computer Science,6.17%,5
16,Creative Writing,3.70%,3
17,Dance,0.00%,0
18,Drama and Theatre Arts,0.00%,0
19,Earth and Environmental Sciences,0.00%,0
20,East Asian Languages and Cultures,2.47%,2
21,"Ecology, Evolution, and Environmental Biology",1.23%,1
22,Economics,13.58%,11
23,Education,0.00%,0
24,English and Comparative Literature,0.00%,0
25,Ethnicity and Race Studies,4.94%,4
26,Film and Media Studies,2.47%,2
27,French and Romance Philology,0.00%,0
28,Germanic Languages,0.00%,0
29,History,6.17%,5
30,History and Philosophy of Science,0.00%,0
31,Human Rights,1.23%,1
32,Italian,0.00%,0
33,Jazz Studies,0.00%,0
34,Jewish Studies,1.23%,1
35,Language Resource Center,0.00%,0
36,Latin American and Caribbean Studies,0.00%,0
37,Latin American and Iberian Cultures,0.00%,0
38,Linguistics,1.23%,1
39,Mathematics,2.47%,2
40,Medieval and Renaissance Studies,0.00%,0
41,"Middle Eastern, South Asian, and African Studies",2.47%,2
42,Music,1.23%,1
43,Philosophy,2.47%,2
44,Physical Education and Intercollegiate Athletics,0.00%,0
45,Physics,1.23%,1
46,Political Science,9.88%,8
47,Psychology,4.94%,4
48,Public Health,3.70%,3
49,Regional Studies,0.00%,0
50,Religion,0.00%,0
51,Slavic Languages,0.00%,0
52,Sociology,2.47%,2
53,Statistics,4.94%,4
54,Sustainable Development,1.23%,1
55,Urban Studies,1.23%,1
56,Visual Arts,4.94%,4
57,Women's and Gender Studies,1.23%,1
58,Other,4.94%,4
,Total,100%,81

Q3seas - What is your first major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your first major/program of study?,1.00,9.00,5.73,1.91,3.65,33

#,Answer,%,Count
1,Applied Math,3.03%,1
2,Biomedical Engineering,9.09%,3
3,Chemical Engineering,3.03%,1
4,Civil Engineering and Engineering Mechanics,3.03%,1
5,"Computer Engineering ",3.03%,1
6,Computer Science,60.61%,20
7,Electrical Engineering,3.03%,1
8,Mechanical Engineering,6.06%,2
9,Industrial Engineering and Operations Research,9.09%,3
10,Other,0.00%,0
,Total,100%,33

Q4seas - What is your second major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your second major/program of study?,1.00,10.00,5.92,3.71,13.74,12

#,Answer,%,Count
1,Applied Math,16.67%,2
2,Biomedical Engineering,16.67%,2
3,Chemical Engineering,8.33%,1
