Default Report
Last Modified: 2019-04-06 12:27:44 MDT


Qintro4 - What division of Spec are you in?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What division of Spec are you in?,1.00,1.00,1.00,0.00,0.00,71

#,Answer,%,Count
17,Journalism,0.00%,0
1,Business & Innovations,100.00%,71
,Total,100%,71

Qintro5 - What is your position in Spec?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your position in Spec?,1.00,5.00,3.97,0.86,0.73,71

#,Answer,%,Count
1,Corporate Board,1.41%,1
2,Managing Board,5.63%,4
3,Deputy Board,12.68%,9
4,Associate,54.93%,39
5,Trainee,25.35%,18
,Total,100%,71

Q1 - What college are you enrolled in?
#,Answer,%,Count
1,Columbia College,44.93%,31
2,Barnard,14.49%,10
3,SEAS,37.68%,26
4,GS,2.90%,2
5,Other (please specify any dual/joint degree program),0.00%,0
,Total,100%,69

Q1_5_TEXT - Other (please specify any dual/joint degree program)
Other (please specify any dual/joint degree program) - Text

Q2 - What year are you?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What year are you? - Selected Choice,1.00,4.00,1.72,0.76,0.58,69

#,Answer,%,Count
1,First year (Class of 2022),44.93%,31
2,Sophomore (Class of 2021),39.13%,27
3,Junior (Class of 2020),14.49%,10
4,Senior (Class of 2019),1.45%,1
5,Other,0.00%,0
,Total,100%,69

Q2_5_TEXT - Other
Other - Text

Q3ccgs - What is your first major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your first major/program of study?,9.00,56.00,28.21,14.32,205.02,33

#,Answer,%,Count
1,African-​American Studies,0.00%,0
2,American Studies,0.00%,0
3,Ancient Studies,0.00%,0
4,Anthropology,0.00%,0
5,Archaeology,0.00%,0
6,Architecture,0.00%,0
7,Art History and Archaeology,0.00%,0
8,Astronomy,0.00%,0
9,Biological Sciences,3.03%,1
10,Business,0.00%,0
11,Chemistry,3.03%,1
12,Classics,0.00%,0
13,"Colloquia, Interdepartmental Seminars, and Professional School Offerings",0.00%,0
14,Comparative Literature and Society,0.00%,0
15,Computer Science,15.15%,5
16,Creative Writing,3.03%,1
17,Dance,0.00%,0
18,Drama and Theatre Arts,0.00%,0
19,Earth and Environmental Sciences,0.00%,0
20,East Asian Languages and Cultures,0.00%,0
21,"Ecology, Evolution, and Environmental Biology",0.00%,0
22,Economics,42.42%,14
23,Education,0.00%,0
24,English and Comparative Literature,3.03%,1
25,Ethnicity and Race Studies,0.00%,0
26,Film and Media Studies,0.00%,0
27,French and Romance Philology,0.00%,0
28,Germanic Languages,0.00%,0
29,History,0.00%,0
30,History and Philosophy of Science,0.00%,0
31,Human Rights,0.00%,0
32,Italian,0.00%,0
33,Jazz Studies,0.00%,0
34,Jewish Studies,0.00%,0
35,Language Resource Center,0.00%,0
36,Latin American and Caribbean Studies,0.00%,0
37,Latin American and Iberian Cultures,0.00%,0
38,Linguistics,0.00%,0
39,Mathematics,3.03%,1
40,Medieval and Renaissance Studies,0.00%,0
41,"Middle Eastern, South Asian, and African Studies",0.00%,0
42,Music,0.00%,0
43,Philosophy,0.00%,0
44,Physical Education and Intercollegiate Athletics,0.00%,0
45,Physics,3.03%,1
46,Political Science,9.09%,3
47,Psychology,3.03%,1
48,Public Health,0.00%,0
49,Regional Studies,0.00%,0
50,Religion,0.00%,0
51,Slavic Languages,0.00%,0
52,Sociology,0.00%,0
53,Statistics,0.00%,0
54,Sustainable Development,6.06%,2
55,Urban Studies,3.03%,1
56,Visual Arts,3.03%,1
57,Women's and Gender Studies,0.00%,0
58,Other,0.00%,0
,Total,100%,33

Q4ccgs - What is your second major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your second major/program of study?,7.00,58.00,37.12,16.38,268.41,26

#,Answer,%,Count
1,African-​American Studies,0.00%,0
2,American Studies,0.00%,0
3,Ancient Studies,0.00%,0
4,Anthropology,0.00%,0
5,Archaeology,0.00%,0
6,Architecture,0.00%,0
7,Art History and Archaeology,3.85%,1
8,Astronomy,0.00%,0
9,Biological Sciences,0.00%,0
10,Business,7.69%,2
11,Chemistry,0.00%,0
12,Classics,0.00%,0
13,"Colloquia, Interdepartmental Seminars, and Professional School Offerings",0.00%,0
14,Comparative Literature and Society,0.00%,0
15,Computer Science,11.54%,3
16,Creative Writing,3.85%,1
17,Dance,0.00%,0
18,Drama and Theatre Arts,0.00%,0
19,Earth and Environmental Sciences,0.00%,0
20,East Asian Languages and Cultures,0.00%,0
21,"Ecology, Evolution, and Environmental Biology",0.00%,0
22,Economics,3.85%,1
23,Education,0.00%,0
24,English and Comparative Literature,0.00%,0
25,Ethnicity and Race Studies,0.00%,0
26,Film and Media Studies,0.00%,0
