Default Report
Last Modified: 2019-04-06 12:28:30 MDT


Qintro4 - What division of Spec are you in?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What division of Spec are you in?,17.00,17.00,17.00,0.00,0.00,151

#,Answer,%,Count
17,Journalism,100.00%,151
1,Business & Innovations,0.00%,0
,Total,100%,151

Qintro5 - What is your position in Spec?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your position in Spec?,1.00,5.00,3.95,0.88,0.77,151

#,Answer,%,Count
1,Corporate Board,1.32%,2
2,Managing Board,5.96%,9
3,Deputy Board,15.23%,23
4,Associate,50.99%,77
5,Trainee,26.49%,40
,Total,100%,151

Q1 - What college are you enrolled in?
#,Answer,%,Count
1,Columbia College,50.67%,76
2,Barnard,40.00%,60
3,SEAS,4.67%,7
4,GS,3.33%,5
5,Other (please specify any dual/joint degree program),1.33%,2
,Total,100%,150

Q1_5_TEXT - Other (please specify any dual/joint degree program)
Other (please specify any dual/joint degree program) - Text
Columbia-Juilliard Exchange
GS/JTS

Q2 - What year are you?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What year are you? - Selected Choice,1.00,4.00,1.83,0.87,0.76,148

#,Answer,%,Count
1,First year (Class of 2022),43.24%,64
2,Sophomore (Class of 2021),35.14%,52
3,Junior (Class of 2020),16.89%,25
4,Senior (Class of 2019),4.73%,7
5,Other,0.00%,0
,Total,100%,148

Q2_5_TEXT - Other
Other - Text

Q3ccgs - What is your first major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your first major/program of study?,2.00,58.00,28.01,14.89,221.83,77

#,Answer,%,Count
1,African-​American Studies,0.00%,0
2,American Studies,5.19%,4
3,Ancient Studies,0.00%,0
4,Anthropology,1.30%,1
5,Archaeology,0.00%,0
6,Architecture,0.00%,0
7,Art History and Archaeology,1.30%,1
8,Astronomy,0.00%,0
9,Biological Sciences,5.19%,4
10,Business,0.00%,0
11,Chemistry,0.00%,0
12,Classics,0.00%,0
13,"Colloquia, Interdepartmental Seminars, and Professional School Offerings",0.00%,0
14,Comparative Literature and Society,3.90%,3
15,Computer Science,5.19%,4
16,Creative Writing,3.90%,3
17,Dance,0.00%,0
18,Drama and Theatre Arts,0.00%,0
19,Earth and Environmental Sciences,0.00%,0
20,East Asian Languages and Cultures,0.00%,0
21,"Ecology, Evolution, and Environmental Biology",0.00%,0
22,Economics,11.69%,9
23,Education,0.00%,0
24,English and Comparative Literature,19.48%,15
25,Ethnicity and Race Studies,0.00%,0
26,Film and Media Studies,0.00%,0
27,French and Romance Philology,0.00%,0
28,Germanic Languages,0.00%,0
29,History,10.39%,8
30,History and Philosophy of Science,0.00%,0
31,Human Rights,1.30%,1
32,Italian,0.00%,0
33,Jazz Studies,0.00%,0
34,Jewish Studies,0.00%,0
35,Language Resource Center,0.00%,0
36,Latin American and Caribbean Studies,0.00%,0
37,Latin American and Iberian Cultures,0.00%,0
38,Linguistics,0.00%,0
39,Mathematics,5.19%,4
40,Medieval and Renaissance Studies,0.00%,0
41,"Middle Eastern, South Asian, and African Studies",0.00%,0
42,Music,0.00%,0
43,Philosophy,5.19%,4
44,Physical Education and Intercollegiate Athletics,0.00%,0
45,Physics,0.00%,0
46,Political Science,10.39%,8
47,Psychology,1.30%,1
48,Public Health,0.00%,0
49,Regional Studies,0.00%,0
50,Religion,0.00%,0
51,Slavic Languages,0.00%,0
52,Sociology,1.30%,1
53,Statistics,1.30%,1
54,Sustainable Development,1.30%,1
